file,code,product_id,status,public_main_url,public_thumb_url,message
/Volumes/Condivisa/FOTO ENERGICA 2025/CONTROLLER NEEM +SAPONE MOLLE SPRAY 1 lt.png,CONTROLLER,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST GRANULARE 500G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST GRANULARE 800G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST POLVERE 500G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0006 CITRONELLA SFERAGEL 180ml.png,EN0006,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0007 LAVANDA SFERAGEL 180ml.png,EN0007,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0008 EUCALIPTO SFERAGEL 180ml.png,EN0008,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0009 ANTI TARME SFERAGEL 180ml.png,EN0009,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0010 CITRONELLA SFERAGEL 360ml.png,EN0010,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0011 LAVANDA SFERAGEL 360ml.png,EN0011,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0012 EUCALIPTO SFERAGEL 360ml.png,EN0012,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0013 ANTI TARME SFERAGEL 360ml.png,EN0013,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0015 PROFUMO CITRONELLA SPRAY 750ML.png,EN0015,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0020 VOLPI GRANULARE 1LT.png,EN0020,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0021 VOLPI GEL 1LT.png,EN0021,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0022 VOLPI CUBO GEL 1LT.png,EN0022,,unmatched,,,no product with this code
